Row,Type,Size,Charge,Mass,m/z,RT
P_Cluster_2200,2D PEAK CLUSTER,3,1,402.297586943,403.304863409,10.6680118876
P_Cluster_2201,2D PEAK CLUSTER,3,1,402.297525799,403.304802266,10.9774291622
P_Cluster_2202,2D PEAK CLUSTER,2,1,404.208416843,405.215693309,3.85985756177
P_Cluster_2203,2D PEAK CLUSTER,2,1,404.255656769,405.262933236,9.49604079780
P_Cluster_2204,2D PEAK CLUSTER,2,1,404.255656702,405.262933168,9.79680997550
P_Cluster_2205,2D PEAK CLUSTER,2,1,404.255798549,405.263075016,10.4308441580
P_Cluster_2206,2D PEAK CLUSTER,2,1,404.292395448,405.299671915,11.4085385468
P_Cluster_2207,2D PEAK CLUSTER,2,1,405.041684562,406.048961028,3.32316298585
P_Cluster_2208,2D PEAK CLUSTER,2,1,405.156623321,406.163899788,3.94955969068
P_Cluster_2209,2D PEAK CLUSTER,2,1,405.371371369,406.378647836,6.97994387098
P_Cluster_2210,2D PEAK CLUSTER,2,1,406.101897698,407.109174165,6.58270524563
P_Cluster_2211,2D PEAK CLUSTER,2,1,406.231888638,407.239165105,4.99393627977
P_Cluster_2212,2D PEAK CLUSTER,2,1,406.233312661,407.240589128,8.65944413359
P_Cluster_2213,2D PEAK CLUSTER,2,1,406.232917699,407.240194166,8.75830925710
P_Cluster_2214,2D PEAK CLUSTER,2,1,406.271135347,407.278411814,9.47825384307
P_Cluster_2215,2D PEAK CLUSTER,3,1,406.271316679,407.278593146,9.72257785906
P_Cluster_2216,2D PEAK CLUSTER,2,1,406.271069183,407.278345650,11.1964837037
P_Cluster_2217,2D PEAK CLUSTER,2,1,407.205061272,408.212337739,4.62934441462
P_Cluster_2218,2D PEAK CLUSTER,2,1,407.216728746,408.224005213,3.53681129771
P_Cluster_2219,2D PEAK CLUSTER,2,1,407.241979082,408.249255549,4.77523972460
P_Cluster_2220,2D PEAK CLUSTER,3,1,407.319004205,408.326280672,9.53900609446
P_Cluster_2221,2D PEAK CLUSTER,2,1,408.071651553,409.078928020,2.01449049611
P_Cluster_2222,2D PEAK CLUSTER,2,1,408.178790083,409.186066549,3.51182191963
P_Cluster_2223,2D PEAK CLUSTER,2,1,408.175571939,409.182848405,3.95903606718
P_Cluster_2224,2D PEAK CLUSTER,2,1,408.248881694,409.256158161,8.27286999308
P_Cluster_2225,2D PEAK CLUSTER,2,1,408.249073065,409.256349532,9.33250362996
