Row,Type,Size,Charge,Mass,m/z,RT
N_Cluster_0001,2D PEAK CLUSTER,2,2,339.955191800,168.970319433,4.38006743505
N_Cluster_0002,2D PEAK CLUSTER,2,2,339.952687786,168.969067426,7.57296195964
N_Cluster_0003,2D PEAK CLUSTER,2,2,339.952355538,168.968901302,8.72469265846
N_Cluster_0004,2D PEAK CLUSTER,2,2,489.987229329,243.986338198,5.85504176753
N_Cluster_0005,2D PEAK CLUSTER,2,2,489.988601169,243.987024117,6.37087597685
N_Cluster_0006,2D PEAK CLUSTER,2,2,489.989092786,243.987269926,7.91446926015
N_Cluster_0007,2D PEAK CLUSTER,2,2,489.986441533,243.985944299,9.49065873245
N_Cluster_0008,2D PEAK CLUSTER,2,2,491.982566776,244.984006921,6.74647701581
N_Cluster_0009,2D PEAK CLUSTER,2,2,498.174681991,248.080064528,7.54393058063
N_Cluster_0010,2D PEAK CLUSTER,2,2,498.174071447,248.079759257,8.71216258498
N_Cluster_0011,2D PEAK CLUSTER,2,2,498.174745623,248.080096345,8.84334746626
N_Cluster_0012,2D PEAK CLUSTER,2,2,537.855732514,267.920589790,1.07196452827
N_Cluster_0013,2D PEAK CLUSTER,2,2,566.155064041,282.070255554,11.8592309495
N_Cluster_0014,2D PEAK CLUSTER,2,2,566.155024115,282.070235591,10.7088142733
N_Cluster_0015,2D PEAK CLUSTER,2,2,566.155166017,282.070306542,10.9449192573
N_Cluster_0016,2D PEAK CLUSTER,2,2,566.155149588,282.070298327,11.1020576142
N_Cluster_0017,2D PEAK CLUSTER,2,2,568.150594169,283.068020618,11.8599896868
N_Cluster_0018,2D PEAK CLUSTER,2,2,568.152710839,283.069078953,11.1028392912
N_Cluster_0019,2D PEAK CLUSTER,2,2,568.151107846,283.068277456,11.2189601547
N_Cluster_0020,2D PEAK CLUSTER,2,2,570.146828594,284.066137830,11.8679206624
N_Cluster_0021,2D PEAK CLUSTER,2,2,592.016721009,295.001084038,4.13338500301
N_Cluster_0022,2D PEAK CLUSTER,2,2,594.186169789,296.085808428,11.8773950672
N_Cluster_0023,2D PEAK CLUSTER,2,2,596.087483114,297.036465090,3.87668352110
N_Cluster_0024,2D PEAK CLUSTER,2,2,596.182784406,297.084115736,11.8750688011
N_Cluster_0025,2D PEAK CLUSTER,2,2,597.091542780,297.538494923,4.52108469455
N_Cluster_0026,2D PEAK CLUSTER,2,2,598.179485401,298.082466234,11.8729565055
N_Cluster_0027,2D PEAK CLUSTER,2,2,598.180491534,298.082969300,12.2444802531
N_Cluster_0028,2D PEAK CLUSTER,2,2,602.131378723,300.058412895,11.8622065731
N_Cluster_0029,2D PEAK CLUSTER,2,2,610.153503314,304.069475190,3.95311925466
N_Cluster_0030,2D PEAK CLUSTER,2,2,610.153094482,304.069270774,3.43574147106
N_Cluster_0031,2D PEAK CLUSTER,2,2,610.153819069,304.069633068,3.71402637859
N_Cluster_0032,2D PEAK CLUSTER,2,2,657.162354814,327.573900940,4.00958244643
N_Cluster_0033,2D PEAK CLUSTER,2,2,742.196381157,370.090914111,3.57378304755
N_Cluster_0034,2D PEAK CLUSTER,2,2,750.159174504,374.072310785,4.55553511506
N_Cluster_0035,2D PEAK CLUSTER,2,2,755.075693591,376.530570329,3.95046095695
N_Cluster_0036,2D PEAK CLUSTER,2,2,756.190750030,377.088098548,4.74089660018
N_Cluster_0037,2D PEAK CLUSTER,3,2,756.211886325,377.098666696,3.53325521541
N_Cluster_0038,2D PEAK CLUSTER,2,2,761.101195052,379.543321059,3.69203546206
N_Cluster_0039,2D PEAK CLUSTER,3,2,772.207426141,385.096436604,3.43712415217
N_Cluster_0040,2D PEAK CLUSTER,2,2,782.249849248,390.117648157,9.83429044064
N_Cluster_0041,2D PEAK CLUSTER,2,2,782.249527091,390.117487079,9.57551621589
N_Cluster_0042,2D PEAK CLUSTER,2,2,802.218095274,400.101771170,3.53858776005
N_Cluster_0043,2D PEAK CLUSTER,2,2,818.212776851,408.099111959,3.43532462850
N_Cluster_0044,2D PEAK CLUSTER,2,2,818.213879333,408.099663199,3.66348485876
N_Cluster_0045,2D PEAK CLUSTER,2,2,820.066236032,409.025841549,6.55342711882
N_Cluster_0046,2D PEAK CLUSTER,2,2,835.289763692,416.637605379,8.96960377522
N_Cluster_0047,2D PEAK CLUSTER,2,2,854.270922686,426.128184876,9.44560423277
N_Cluster_0048,2D PEAK CLUSTER,2,2,854.271036869,426.128241968,9.61707157039
N_Cluster_0049,2D PEAK CLUSTER,2,2,857.823702428,427.904574747,2.35435498533
N_Cluster_0050,2D PEAK CLUSTER,2,2,886.363774595,442.174610831,6.34014729612
N_Cluster_0051,2D PEAK CLUSTER,2,2,894.186960048,446.086203557,3.84074189069
N_Cluster_0052,2D PEAK CLUSTER,2,2,902.359057203,450.172252135,6.25200585192
N_Cluster_0053,2D PEAK CLUSTER,2,2,929.469572864,463.727509965,2.71022344183
N_Cluster_0054,2D PEAK CLUSTER,2,2,932.253278263,465.119362665,3.86087689192
N_Cluster_0055,2D PEAK CLUSTER,2,2,932.283534745,465.134490905,9.84368188753
N_Cluster_0056,2D PEAK CLUSTER,2,2,934.265627221,466.125537144,3.40843072237
N_Cluster_0057,2D PEAK CLUSTER,2,2,949.198329021,473.591888044,1.31259354286
N_Cluster_0058,2D PEAK CLUSTER,3,2,950.118230833,474.051838950,4.15000819388
N_Cluster_0059,2D PEAK CLUSTER,2,2,960.302336345,479.143891706,3.52837218666
N_Cluster_0060,2D PEAK CLUSTER,2,2,1011.76621572,504.875831393,9.91169012481
N_Cluster_0061,2D PEAK CLUSTER,2,2,1014.12117198,506.053309522,6.81109179900
N_Cluster_0062,2D PEAK CLUSTER,3,2,1016.13426195,507.059854506,6.47599722267
N_Cluster_0063,2D PEAK CLUSTER,2,2,1016.13547519,507.060461130,6.61694155090
N_Cluster_0064,2D PEAK CLUSTER,2,2,1016.32352702,507.154487044,8.62755870224
N_Cluster_0065,2D PEAK CLUSTER,2,2,1016.32347449,507.154460780,8.82207242125
N_Cluster_0066,2D PEAK CLUSTER,2,2,1017.23518930,507.610318183,5.52790242853
N_Cluster_0067,2D PEAK CLUSTER,2,2,1018.24535394,508.115400503,5.28770485364
N_Cluster_0068,2D PEAK CLUSTER,2,2,1022.32934019,510.157393630,4.93024628817
N_Cluster_0069,2D PEAK CLUSTER,2,2,1026.22815236,512.106799713,3.72157672282
N_Cluster_0070,2D PEAK CLUSTER,2,2,1030.15181213,514.068629596,7.17083118821
N_Cluster_0071,2D PEAK CLUSTER,2,2,1040.24388368,519.114665376,3.71162747330
N_Cluster_0072,2D PEAK CLUSTER,2,2,1040.24086990,519.113158484,3.85245692588
N_Cluster_0073,2D PEAK CLUSTER,2,2,1048.39351079,523.189478929,6.64996857605
N_Cluster_0074,2D PEAK CLUSTER,2,2,1056.23620833,527.110827697,3.78523574713
N_Cluster_0075,2D PEAK CLUSTER,3,2,1072.21590266,535.100674864,3.70438042045
N_Cluster_0076,2D PEAK CLUSTER,2,2,1075.23452157,536.609984319,3.72125339123
N_Cluster_0077,2D PEAK CLUSTER,2,2,1080.47457060,539.230008833,2.81352425756
N_Cluster_0078,2D PEAK CLUSTER,3,2,1088.20981689,543.097631980,3.65731945876
N_Cluster_0079,2D PEAK CLUSTER,2,2,1113.44309535,555.714271209,7.78016079152
N_Cluster_0080,2D PEAK CLUSTER,2,2,1122.36133309,560.173390076,4.93463939637
N_Cluster_0081,2D PEAK CLUSTER,2,2,1122.36033068,560.172888875,5.38140573079
N_Cluster_0082,2D PEAK CLUSTER,2,2,1122.36021919,560.172833126,5.51176838045
N_Cluster_0083,2D PEAK CLUSTER,2,2,1138.35621001,568.170828538,4.69345812171
N_Cluster_0084,2D PEAK CLUSTER,2,2,1146.29035841,572.137902738,4.83094302891
N_Cluster_0085,2D PEAK CLUSTER,2,2,1157.25358099,577.619514027,2.66372515297
N_Cluster_0086,2D PEAK CLUSTER,3,2,1175.58272017,586.784083616,4.40637728793
N_Cluster_0087,2D PEAK CLUSTER,2,2,1175.68954247,586.837494770,11.6521005061
N_Cluster_0088,2D PEAK CLUSTER,2,2,1184.37995741,591.182702240,4.55627474369
N_Cluster_0089,2D PEAK CLUSTER,2,2,1185.38319715,591.684322109,4.69801840946
N_Cluster_0090,2D PEAK CLUSTER,2,2,1186.30268722,592.144067141,3.61479640917
N_Cluster_0091,2D PEAK CLUSTER,2,2,1193.34418271,595.664814889,2.59582105960
N_Cluster_0092,2D PEAK CLUSTER,2,2,1197.72232895,597.853888010,1.07292394380
N_Cluster_0093,2D PEAK CLUSTER,2,2,1198.38500383,598.185225449,1.33651578488
N_Cluster_0094,2D PEAK CLUSTER,2,2,1198.38681549,598.186131278,1.70113283241
N_Cluster_0095,2D PEAK CLUSTER,2,2,1202.27833368,600.131890374,4.19800462523
N_Cluster_0096,2D PEAK CLUSTER,2,2,1202.27520572,600.130326396,4.67478377551
N_Cluster_0097,2D PEAK CLUSTER,2,2,1202.29796002,600.141703541,3.55469567383
N_Cluster_0098,2D PEAK CLUSTER,2,2,1202.31012360,600.147785331,3.77480532382
N_Cluster_0099,2D PEAK CLUSTER,2,2,1206.84378078,602.414613921,11.4844562538
N_Cluster_0100,2D PEAK CLUSTER,2,2,1210.29978231,604.142614690,4.06114748997
N_Cluster_0101,2D PEAK CLUSTER,2,2,1212.27758135,605.131514208,3.97425440304
N_Cluster_0102,2D PEAK CLUSTER,2,2,1213.69843749,605.841942277,1.07954278232
N_Cluster_0103,2D PEAK CLUSTER,2,2,1215.69342912,606.839438091,1.07744885753
N_Cluster_0104,2D PEAK CLUSTER,2,2,1218.28874583,608.137096450,3.42558619344
N_Cluster_0105,2D PEAK CLUSTER,2,2,1218.29161289,608.138529979,3.50261727853
N_Cluster_0106,2D PEAK CLUSTER,2,2,1229.67844099,613.831944029,1.07819051259
N_Cluster_0107,2D PEAK CLUSTER,2,2,1242.28766415,620.136555609,3.71245887799
N_Cluster_0108,2D PEAK CLUSTER,3,2,1242.28767277,620.136559919,3.95010422800
N_Cluster_0109,2D PEAK CLUSTER,2,2,1242.23496724,620.110207154,4.06124639300
N_Cluster_0110,2D PEAK CLUSTER,2,2,1244.39262102,621.189034042,1.34535425535
N_Cluster_0111,2D PEAK CLUSTER,2,2,1246.25518047,622.120313766,2.60155197444
N_Cluster_0112,2D PEAK CLUSTER,2,2,1250.35011988,624.167783475,1.70937449239
N_Cluster_0113,2D PEAK CLUSTER,2,2,1259.26527133,628.625359200,3.95029036364
N_Cluster_0114,2D PEAK CLUSTER,2,2,1268.41837756,633.201912315,5.24217110071
N_Cluster_0115,2D PEAK CLUSTER,2,2,1269.21866605,633.602056559,3.94636598116
N_Cluster_0116,2D PEAK CLUSTER,2,2,1270.43426207,634.209854568,5.24165783604
N_Cluster_0117,2D PEAK CLUSTER,2,2,1270.43432530,634.209886184,5.38151564707
N_Cluster_0118,2D PEAK CLUSTER,3,2,1274.22627304,636.105860053,3.94970765529
N_Cluster_0119,2D PEAK CLUSTER,2,2,1278.29543688,638.140441974,4.93215497561
N_Cluster_0120,2D PEAK CLUSTER,2,2,1284.41319553,641.199321296,5.05152704134
N_Cluster_0121,2D PEAK CLUSTER,2,2,1286.42977440,642.207610732,5.15224296725
N_Cluster_0122,2D PEAK CLUSTER,2,2,1303.67823545,650.831841260,3.75702288594
N_Cluster_0123,2D PEAK CLUSTER,2,2,1311.22657124,654.606009152,4.08814270267
N_Cluster_0124,2D PEAK CLUSTER,2,2,1311.54985765,654.767652359,3.87702525111
N_Cluster_0125,2D PEAK CLUSTER,2,2,1311.70600351,654.845725287,1.07237334718
N_Cluster_0126,2D PEAK CLUSTER,2,2,1313.70644253,655.845944798,1.07280427620
N_Cluster_0127,2D PEAK CLUSTER,3,2,1314.43598625,656.210716658,1.34866916776
N_Cluster_0128,2D PEAK CLUSTER,3,2,1314.43472708,656.210087073,1.70920612752
N_Cluster_0129,2D PEAK CLUSTER,2,2,1314.42648988,656.205968474,4.85464966549
N_Cluster_0130,2D PEAK CLUSTER,2,2,1336.77177656,667.378611815,1.07435802149
N_Cluster_0131,2D PEAK CLUSTER,2,2,1338.63878869,668.312117879,4.68551430578
N_Cluster_0132,2D PEAK CLUSTER,2,2,1340.27153182,669.128489444,3.64756647507
N_Cluster_0133,2D PEAK CLUSTER,3,2,1343.65907273,670.822259898,1.08090552518
N_Cluster_0134,2D PEAK CLUSTER,2,2,1346.65654801,672.320997537,1.08437831844
N_Cluster_0135,2D PEAK CLUSTER,2,2,1347.79276008,672.889103572,1.06874553223
N_Cluster_0136,2D PEAK CLUSTER,2,2,1349.79571730,673.890582182,1.06818877104
N_Cluster_0137,2D PEAK CLUSTER,2,2,1350.40954526,674.197496161,1.34460292043
N_Cluster_0138,2D PEAK CLUSTER,2,2,1356.61671960,677.301083334,3.91853598331
N_Cluster_0139,2D PEAK CLUSTER,3,2,1360.44096260,679.213204832,1.34827610430
N_Cluster_0140,2D PEAK CLUSTER,3,2,1360.43902527,679.212236166,1.71512659230
N_Cluster_0141,2D PEAK CLUSTER,2,2,1363.77462653,680.880036800,1.07037726308
N_Cluster_0142,2D PEAK CLUSTER,2,2,1384.74362205,691.364534559,1.06786244469
N_Cluster_0143,2D PEAK CLUSTER,2,2,1395.72725475,696.856350908,1.07017448158
N_Cluster_0144,2D PEAK CLUSTER,2,2,1398.22479120,698.105119133,4.14904048125
N_Cluster_0145,2D PEAK CLUSTER,2,2,1406.44637720,702.215912134,1.71101220903
N_Cluster_0146,2D PEAK CLUSTER,3,2,1412.40291161,705.194179336,1.72224058577
N_Cluster_0147,2D PEAK CLUSTER,2,2,1420.20559219,709.095519630,4.15278966120
N_Cluster_0148,2D PEAK CLUSTER,2,2,1427.67949041,712.832468739,1.07284373549
N_Cluster_0149,2D PEAK CLUSTER,2,2,1429.67858187,713.832014470,1.07161275021
N_Cluster_0150,2D PEAK CLUSTER,2,2,1430.47187070,714.228658883,4.73476684997
N_Cluster_0151,2D PEAK CLUSTER,2,2,1430.47223852,714.228842793,4.92304595274
N_Cluster_0152,2D PEAK CLUSTER,2,2,1441.65749151,719.821469291,1.07236855964
N_Cluster_0153,2D PEAK CLUSTER,2,2,1441.68945749,719.837452280,4.26158502473
N_Cluster_0154,2D PEAK CLUSTER,2,2,1443.65965083,720.822548946,1.07351576503
N_Cluster_0155,2D PEAK CLUSTER,2,2,1446.46479326,722.225120163,4.70349024923
N_Cluster_0156,2D PEAK CLUSTER,2,2,1446.46876064,722.227103855,4.86025342452
N_Cluster_0157,2D PEAK CLUSTER,2,2,1446.65499615,722.320221606,1.06791069455
N_Cluster_0158,2D PEAK CLUSTER,2,2,1457.63939305,727.812420057,1.08111079114
N_Cluster_0159,2D PEAK CLUSTER,2,2,1464.47805058,731.231748821,4.43346790131
N_Cluster_0160,2D PEAK CLUSTER,3,2,1466.43547912,732.210463094,1.30430017510
N_Cluster_0161,2D PEAK CLUSTER,3,2,1476.48806494,737.236756001,1.35276217129
N_Cluster_0162,2D PEAK CLUSTER,4,2,1476.48859128,737.237019172,1.72099849961
N_Cluster_0163,2D PEAK CLUSTER,2,2,1477.75474434,737.870095705,1.07085994040
N_Cluster_0164,2D PEAK CLUSTER,2,2,1479.75202846,738.868737761,1.07052641872
N_Cluster_0165,2D PEAK CLUSTER,2,2,1481.74969306,739.867570062,1.07282516523
N_Cluster_0166,2D PEAK CLUSTER,2,2,1498.36525606,748.175351562,4.47267589486
N_Cluster_0167,2D PEAK CLUSTER,2,2,1500.34512938,749.165288225,3.91089648527
N_Cluster_0168,2D PEAK CLUSTER,2,2,1504.56475776,751.275102415,4.60468552425
N_Cluster_0169,2D PEAK CLUSTER,2,2,1508.71003212,753.347739594,1.06945698658
N_Cluster_0170,2D PEAK CLUSTER,2,2,1513.46408243,755.724764750,1.34653907359
N_Cluster_0171,2D PEAK CLUSTER,4,2,1522.49219949,760.238823276,1.35623307447
N_Cluster_0172,2D PEAK CLUSTER,3,2,1522.49321465,760.239330858,1.72012105316
N_Cluster_0173,2D PEAK CLUSTER,2,2,1528.42186449,763.203655779,3.44806958128
N_Cluster_0174,2D PEAK CLUSTER,2,2,1539.66690766,768.826177361,1.07129867242
N_Cluster_0175,2D PEAK CLUSTER,2,2,1540.26800482,769.126725945,6.95118976782
N_Cluster_0176,2D PEAK CLUSTER,2,2,1541.66569965,769.825573357,1.07068022206
N_Cluster_0177,2D PEAK CLUSTER,2,2,1544.47347784,771.229462454,1.71604228231
N_Cluster_0178,2D PEAK CLUSTER,2,2,1547.75112460,772.868285834,1.07085785957
N_Cluster_0179,2D PEAK CLUSTER,2,2,1549.66410224,773.824774652,4.05882790399
N_Cluster_0180,2D PEAK CLUSTER,2,2,1549.76168700,773.873567035,1.07328584116
N_Cluster_0181,2D PEAK CLUSTER,3,2,1568.49989658,783.242671824,1.71441370240
N_Cluster_0182,2D PEAK CLUSTER,2,2,1571.61938768,784.802417372,1.07498026237
N_Cluster_0183,2D PEAK CLUSTER,2,2,1573.61842534,785.801936201,1.07437892547
N_Cluster_0184,2D PEAK CLUSTER,4,2,1574.45507083,786.220258950,1.72585393390
N_Cluster_0185,2D PEAK CLUSTER,3,2,1574.46300334,786.224225201,1.35953094682
N_Cluster_0186,2D PEAK CLUSTER,2,2,1574.79707086,786.391258961,3.90401623516
N_Cluster_0187,2D PEAK CLUSTER,2,2,1575.75326139,786.869354230,1.06914357578
N_Cluster_0188,2D PEAK CLUSTER,2,2,1577.75626290,787.870854981,1.06867007773
N_Cluster_0189,2D PEAK CLUSTER,2,2,1581.39544217,789.690444621,1.16810534751
N_Cluster_0190,2D PEAK CLUSTER,2,2,1582.73690218,790.361174625,1.07555870957
N_Cluster_0191,2D PEAK CLUSTER,2,2,1591.72779663,794.856621847,1.07220339182
N_Cluster_0192,2D PEAK CLUSTER,2,2,1608.69990747,803.342677267,1.07145677437
N_Cluster_0193,2D PEAK CLUSTER,2,2,1614.69789793,806.341672500,1.06654687707
N_Cluster_0194,2D PEAK CLUSTER,3,2,1623.68475624,810.835101652,1.07067387178
N_Cluster_0195,2D PEAK CLUSTER,2,2,1630.41539863,814.200422846,1.16062276020
N_Cluster_0196,2D PEAK CLUSTER,5,2,1638.53940753,818.262427296,1.35984477953
N_Cluster_0197,2D PEAK CLUSTER,4,2,1638.54021218,818.262829625,1.72236338857
N_Cluster_0198,2D PEAK CLUSTER,2,2,1641.65014097,819.817794016,1.07084990527
N_Cluster_0199,2D PEAK CLUSTER,3,2,1649.63374110,823.809594084,1.06128320561
N_Cluster_0200,2D PEAK CLUSTER,2,2,1652.76454754,825.374997302,3.46493260046
N_Cluster_0201,2D PEAK CLUSTER,2,2,1653.64110971,825.813278388,1.07078351617
N_Cluster_0202,2D PEAK CLUSTER,2,2,1655.64279917,826.814123119,1.06926462444
N_Cluster_0203,2D PEAK CLUSTER,2,2,1657.63841056,827.811928815,1.06903271064
N_Cluster_0204,2D PEAK CLUSTER,2,2,1663.73732796,830.861387512,1.07190270957
N_Cluster_0205,2D PEAK CLUSTER,2,2,1669.61852899,833.801988030,1.07231773790
N_Cluster_0206,2D PEAK CLUSTER,2,2,1671.62170125,834.803574160,1.07155942796
N_Cluster_0207,2D PEAK CLUSTER,2,2,1673.61896741,835.802207236,1.07267166009
N_Cluster_0208,2D PEAK CLUSTER,2,2,1675.52031011,836.752878590,1.35370830055
N_Cluster_0209,2D PEAK CLUSTER,4,2,1684.54382979,841.264638428,1.35992897351
N_Cluster_0210,2D PEAK CLUSTER,3,2,1684.54502440,841.265235731,1.72325667401
N_Cluster_0211,2D PEAK CLUSTER,2,2,1685.59512173,841.790284399,1.07581475188
N_Cluster_0212,2D PEAK CLUSTER,2,2,1687.59792008,842.791683571,1.07141963431
N_Cluster_0213,2D PEAK CLUSTER,2,2,1692.68805130,845.336749181,8.81746163268
N_Cluster_0214,2D PEAK CLUSTER,2,2,1701.57738428,849.781415673,1.07872986099
N_Cluster_0215,2D PEAK CLUSTER,3,2,1706.70474505,852.345096059,1.07194438255
N_Cluster_0216,2D PEAK CLUSTER,3,2,1709.70670725,853.846077158,1.07383174342
N_Cluster_0217,2D PEAK CLUSTER,2,2,1719.54343903,858.764443050,1.07453601533
N_Cluster_0218,2D PEAK CLUSTER,4,2,1736.50843524,867.246941152,1.72690104014
N_Cluster_0219,2D PEAK CLUSTER,3,2,1736.51085312,867.248150091,1.36016070891
N_Cluster_0220,2D PEAK CLUSTER,2,2,1749.79941750,873.892432281,4.59669328225
N_Cluster_0221,2D PEAK CLUSTER,3,2,1768.45314699,883.219297030,4.04850526807
N_Cluster_0222,2D PEAK CLUSTER,2,2,1769.62263720,883.804042135,1.07275587319
N_Cluster_0223,2D PEAK CLUSTER,2,2,1774.44443288,886.214939972,4.06138852111
N_Cluster_0224,2D PEAK CLUSTER,2,2,1776.71364769,887.349547379,1.09298185615
N_Cluster_0225,2D PEAK CLUSTER,2,2,1778.71689966,888.351173363,1.07821700571
N_Cluster_0226,2D PEAK CLUSTER,3,2,1782.47138656,890.228416811,4.05864212769
N_Cluster_0227,2D PEAK CLUSTER,2,2,1799.57187697,898.778662017,1.07367086626
N_Cluster_0228,2D PEAK CLUSTER,2,2,1800.45393961,899.219693337,3.96102679549
N_Cluster_0229,2D PEAK CLUSTER,4,2,1800.59127171,899.288359388,1.36773035579
N_Cluster_0230,2D PEAK CLUSTER,3,2,1800.59316735,899.289307208,1.72494327972
N_Cluster_0231,2D PEAK CLUSTER,2,2,1801.58213713,899.783792097,1.07158036373
N_Cluster_0232,2D PEAK CLUSTER,3,2,1803.56863786,900.777042465,1.07307766537
N_Cluster_0233,2D PEAK CLUSTER,2,2,1803.71374486,900.849595965,1.07686842888
N_Cluster_0234,2D PEAK CLUSTER,2,2,1804.45636477,901.220905919,4.05955752659
N_Cluster_0235,2D PEAK CLUSTER,2,2,1805.71223173,901.848839400,1.07309826001
N_Cluster_0236,2D PEAK CLUSTER,2,2,1806.38197295,902.183710006,4.06128034878
N_Cluster_0237,2D PEAK CLUSTER,2,2,1807.70968304,902.847565052,1.07221477408
N_Cluster_0238,2D PEAK CLUSTER,2,2,1809.55652232,903.770984696,1.30573376028
N_Cluster_0239,2D PEAK CLUSTER,2,2,1809.55219322,903.768820144,1.48292830175
N_Cluster_0240,2D PEAK CLUSTER,3,2,1809.70307565,903.844261357,1.07773826564
N_Cluster_0241,2D PEAK CLUSTER,2,2,1820.69096406,909.338205562,1.07450290640
N_Cluster_0242,2D PEAK CLUSTER,2,2,1821.83611308,909.910780075,4.48697408295
N_Cluster_0243,2D PEAK CLUSTER,2,2,1824.68446171,911.334954389,1.07847320113
N_Cluster_0244,2D PEAK CLUSTER,4,2,1830.46223921,914.223843140,3.94816750575
N_Cluster_0245,2D PEAK CLUSTER,2,2,1832.53594580,915.260696431,1.07721477850
N_Cluster_0246,2D PEAK CLUSTER,2,2,1833.66540937,915.825428217,1.07366731905
N_Cluster_0247,2D PEAK CLUSTER,2,2,1835.66993363,916.827690349,1.08242049332
N_Cluster_0248,2D PEAK CLUSTER,4,2,1836.56943203,917.277439550,1.35783848102
N_Cluster_0249,2D PEAK CLUSTER,2,2,1837.66471952,917.825083295,1.07564865973
N_Cluster_0250,2D PEAK CLUSTER,3,2,1846.32056104,922.153004051,4.14567884231
N_Cluster_0251,2D PEAK CLUSTER,3,2,1846.59728969,922.291368376,1.37068338445
N_Cluster_0252,2D PEAK CLUSTER,2,2,1846.59942572,922.292436395,1.72470057095
N_Cluster_0253,2D PEAK CLUSTER,2,2,1851.64180883,924.813627947,1.06742423267
N_Cluster_0254,2D PEAK CLUSTER,3,2,1852.44026365,925.212855356,3.94898763369
N_Cluster_0255,2D PEAK CLUSTER,2,2,1853.65108125,925.818264160,1.06882260160
N_Cluster_0256,2D PEAK CLUSTER,3,2,1855.64786877,926.816657918,1.06545409861
N_Cluster_0257,2D PEAK CLUSTER,2,2,1869.31034361,933.647895337,4.15232623196
N_Cluster_0258,2D PEAK CLUSTER,3,2,1874.83002983,936.407738447,4.70047068971
N_Cluster_0259,2D PEAK CLUSTER,2,2,1884.37916817,941.182307620,3.94718463556
N_Cluster_0260,2D PEAK CLUSTER,2,2,1885.58343106,941.784439063,1.06544763725
N_Cluster_0261,2D PEAK CLUSTER,3,2,1892.68925092,945.337348992,1.09025230713
N_Cluster_0262,2D PEAK CLUSTER,2,2,1898.56229569,948.273871379,1.72959162983
N_Cluster_0263,2D PEAK CLUSTER,2,2,1899.57726105,948.781354057,1.08075606269
N_Cluster_0264,2D PEAK CLUSTER,2,2,1903.55993868,950.772692873,1.06836994339
N_Cluster_0265,2D PEAK CLUSTER,2,2,1913.54972727,955.767587170,1.06607322790
N_Cluster_0266,2D PEAK CLUSTER,2,2,1929.53748092,963.761463991,1.07324655772
N_Cluster_0267,2D PEAK CLUSTER,2,2,1932.53460948,965.260028271,1.07073095140
N_Cluster_0268,2D PEAK CLUSTER,2,2,1935.67065414,966.828050604,1.08392068771
N_Cluster_0269,2D PEAK CLUSTER,2,2,1938.66339857,968.324422820,1.07231658514
N_Cluster_0270,2D PEAK CLUSTER,2,2,1947.51586419,972.750655626,1.07317669156
N_Cluster_0271,2D PEAK CLUSTER,3,2,1962.64624964,980.315848354,1.36944371026
N_Cluster_0272,2D PEAK CLUSTER,3,2,1962.64599558,980.315721322,1.72567966674
N_Cluster_0273,2D PEAK CLUSTER,3,2,1967.61487494,982.800161001,1.06806863970
N_Cluster_0274,2D PEAK CLUSTER,2,2,2029.53682626,1013.76113666,1.06435133843
N_Cluster_0275,2D PEAK CLUSTER,3,2,2031.66974361,1014.82759534,1.07183979653
N_Cluster_0276,2D PEAK CLUSTER,2,2,2035.67083942,1016.82814324,1.07499168688
N_Cluster_0277,2D PEAK CLUSTER,3,2,2036.96672936,1017.47608822,3.91503247237
N_Cluster_0278,2D PEAK CLUSTER,2,2,2037.66484556,1017.82514631,1.07738423491
N_Cluster_0279,2D PEAK CLUSTER,2,2,2048.51468391,1023.25006549,1.07711630731
N_Cluster_0280,2D PEAK CLUSTER,3,2,2060.48785544,1029.23665125,1.07317615606
N_Cluster_0281,2D PEAK CLUSTER,2,2,2060.60721426,1029.29633066,1.75186834265
N_Cluster_0282,2D PEAK CLUSTER,2,2,2066.61605789,1032.30075248,1.06875194113
N_Cluster_0283,2D PEAK CLUSTER,3,2,2116.01913372,1057.00229039,4.52272529507
N_Cluster_0284,2D PEAK CLUSTER,2,2,2124.69090244,1061.33817475,1.37077256723
N_Cluster_0285,2D PEAK CLUSTER,2,2,2124.70026233,1061.34285470,1.75107477457
N_Cluster_0286,2D PEAK CLUSTER,2,2,2133.66076881,1065.82310794,1.32235281165
N_Cluster_0287,2D PEAK CLUSTER,4,2,2150.67030222,1074.32787464,1.30686289699
N_Cluster_0288,2D PEAK CLUSTER,2,2,2262.63347232,1130.30945969,1.07349454215
N_Cluster_0289,2D PEAK CLUSTER,2,2,2278.10745526,1138.04645116,4.24849709955
N_Cluster_0290,2D PEAK CLUSTER,2,2,2294.42189704,1146.20367205,4.14462482711
N_Cluster_0291,2D PEAK CLUSTER,2,2,2333.60769563,1165.79657135,4.05417536387
N_Cluster_0292,2D PEAK CLUSTER,3,2,2338.58921240,1168.28732974,4.06400262725
N_Cluster_0293,2D PEAK CLUSTER,3,2,2342.55461158,1170.27002932,3.84447224314
N_Cluster_0294,2D PEAK CLUSTER,2,2,2346.62183188,1172.30363947,4.06020818131
N_Cluster_0295,2D PEAK CLUSTER,2,2,2355.58026612,1176.78285659,4.05353731010
N_Cluster_0296,2D PEAK CLUSTER,2,2,2368.59747152,1183.29145929,4.06234719515
N_Cluster_0297,2D PEAK CLUSTER,2,2,2371.57679457,1184.78112082,4.05519954293
N_Cluster_0298,2D PEAK CLUSTER,2,2,2385.57852114,1191.78198410,4.05616552475
